,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
201110   ,6.63   ,4.48   ,6.03   ,9.98   ,9.13   ,9.26
201111  ,-8.67  ,-4.39  ,-3.18  ,-7.74  ,-4.33  ,-2.34
201112  ,-2.46  ,-0.97  ,-0.44  ,-2.90  ,-1.36   ,0.20
201201  ,11.20   ,6.87   ,6.27  ,11.32   ,5.50   ,2.39
201202   ,7.54   ,4.30   ,3.34   ,9.03   ,4.43   ,4.31
201203  ,-2.66   ,1.19   ,1.89  ,-2.31  ,-0.60   ,1.43
201204  ,-3.97  ,-0.39   ,1.43  ,-6.68  ,-0.49   ,0.72
201205 ,-14.91  ,-9.00  ,-9.10 ,-15.11 ,-11.29  ,-8.14
201206   ,2.35   ,2.66   ,3.19   ,7.75   ,5.63   ,5.66
201207  ,-1.87  ,-0.38   ,1.15  ,-2.65   ,1.93   ,2.63
201208   ,2.84   ,2.20   ,2.01   ,3.99   ,2.82   ,2.61
201209   ,4.93   ,3.74   ,4.18   ,4.82   ,2.88   ,2.79
201210  ,-0.23  ,-0.66   ,0.95   ,1.70   ,0.71   ,0.60
201211  ,-0.94   ,0.41   ,0.90   ,0.84   ,1.83   ,3.38
201212   ,5.74   ,3.18   ,4.07   ,4.03   ,2.89   ,2.79
201301   ,5.48   ,5.07   ,6.95   ,4.76   ,5.30   ,5.49
201302  ,-2.38   ,0.47   ,1.79  ,-3.78  ,-0.38   ,0.60
201303  ,-1.60   ,2.72   ,5.21  ,-1.85   ,1.04   ,2.21
201304  ,-0.70   ,3.71   ,6.24   ,3.40   ,4.38   ,6.08
201305  ,-1.07  ,-2.48  ,-2.91  ,-0.40  ,-2.01  ,-2.33
201306  ,-4.40  ,-2.12  ,-3.92  ,-5.46  ,-3.53  ,-2.98
201307   ,4.49   ,4.63   ,6.22   ,5.22   ,5.16   ,6.59
201308   ,1.21  ,-0.17   ,0.00   ,0.66  ,-1.95  ,-2.02
201309   ,6.41   ,8.08  ,10.18   ,6.15   ,6.64   ,8.65
201310   ,1.35   ,3.00   ,2.75   ,3.38   ,3.42   ,3.44
201311  ,-2.09   ,0.39   ,2.23  ,-0.33   ,0.51   ,2.24
201312   ,0.72   ,2.04   ,2.55   ,1.04   ,1.71   ,2.45
201401   ,0.16   ,0.31   ,0.75  ,-3.24  ,-4.19  ,-2.64
