Date,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
200601   ,9.47   ,7.79   ,7.76  ,10.29  ,10.07  ,11.25
200602   ,1.72   ,2.68   ,0.76   ,0.92   ,0.56  ,-1.23
200603   ,0.79   ,2.59   ,2.65   ,0.92   ,0.57   ,1.59
200604   ,6.80   ,8.32   ,8.71   ,6.97   ,7.15   ,8.59
200605  ,-8.46  ,-6.01  ,-9.71  ,-9.19 ,-10.47 ,-10.36
200606  ,-5.10  ,-5.12  ,-6.53  ,-2.53  ,-0.35  ,-0.83
200607  ,-0.49   ,0.94   ,0.93   ,0.98   ,1.61   ,1.42
200608   ,3.56   ,3.40   ,2.71   ,3.95   ,1.39   ,5.27
200609   ,2.72   ,2.31   ,3.52   ,2.29   ,1.03  ,-0.38
200610   ,3.91   ,5.99   ,7.45   ,5.45   ,4.22   ,4.42
200611   ,7.71   ,8.73   ,9.50   ,6.79   ,7.30   ,8.47
200612   ,3.03   ,4.95   ,5.60   ,3.82   ,5.07   ,3.07
200701   ,0.16   ,2.23   ,3.20  ,-0.16  ,-1.94  ,-0.01
200702   ,2.03   ,3.40   ,4.84  ,-0.74  ,-0.13   ,1.36
200703   ,4.08   ,5.48   ,6.91   ,3.29   ,3.80   ,5.44
200704   ,5.98   ,6.72   ,7.79   ,3.32   ,4.72   ,7.51
200705   ,7.26   ,8.71   ,9.99   ,3.08   ,5.86   ,6.27
200706   ,3.89   ,5.47   ,5.56   ,5.95   ,3.93   ,4.19
200707   ,4.71   ,7.80   ,7.76   ,4.00   ,5.69   ,7.25
200708  ,-6.54  ,-5.88  ,-6.78  ,-4.46  ,-1.26  ,-3.04
200709   ,5.80   ,5.82   ,6.83   ,8.04  ,11.17   ,9.51
200710   ,1.93   ,3.13   ,3.45   ,7.69  ,11.58  ,12.15
200711  ,-6.60  ,-6.49  ,-8.08  ,-4.65  ,-7.78  ,-7.60
200712   ,2.99   ,2.50   ,0.76   ,1.71   ,0.76   ,0.67
200801 ,-12.82 ,-12.02 ,-12.31  ,-9.84 ,-13.37 ,-12.24
200802   ,6.48   ,6.65   ,6.53   ,3.03   ,7.03  ,10.22
200803  ,-6.25  ,-3.87  ,-6.85  ,-2.26  ,-4.98  ,-5.67
200804   ,4.42   ,4.95   ,5.61   ,7.01   ,6.75   ,9.00
200805   ,1.04  ,-0.10   ,1.76   ,0.74   ,1.48   ,3.29
200806 ,-10.56  ,-8.35  ,-8.45 ,-11.86 ,-10.03  ,-8.64
200807  ,-3.86  ,-1.80  ,-2.62  ,-0.69  ,-2.23  ,-7.27
200808  ,-9.51  ,-6.27  ,-8.00  ,-6.61  ,-7.19  ,-9.01
200809 ,-22.44 ,-19.81 ,-17.53 ,-19.39 ,-16.19 ,-18.77
200810 ,-30.42 ,-29.25 ,-26.24 ,-30.61 ,-26.14 ,-26.88
200811  ,-9.55  ,-8.90  ,-8.43  ,-8.23  ,-7.43  ,-8.01
200812  ,13.55   ,9.19   ,4.95  ,12.02   ,7.69   ,5.05
200901  ,-5.06  ,-3.98  ,-5.18  ,-2.77  ,-7.47  ,-7.60
200902  ,-5.14  ,-3.60  ,-4.27  ,-6.44  ,-6.78  ,-1.98
200903  ,14.93  ,12.24  ,10.94  ,15.95  ,14.24  ,12.10
200904  ,28.97  ,19.44  ,14.67  ,24.43  ,17.20   ,9.96
200905  ,29.64  ,18.52  ,13.05  ,25.33  ,17.89  ,12.25
200906   ,0.34  ,-0.32  ,-0.82  ,-2.91  ,-1.13  ,-1.55
200907  ,11.76  ,11.21  ,13.03  ,12.34  ,10.79  ,10.56
200908   ,4.51   ,2.43   ,1.01  ,-0.22  ,-0.11  ,-0.41
200909   ,9.93   ,8.13   ,8.55   ,9.20   ,9.47   ,9.78
200910   ,0.89   ,0.96   ,1.08   ,0.47  ,-0.91  ,-0.91
200911   ,3.95   ,4.53   ,4.86   ,2.87   ,4.69   ,6.09
200912   ,5.39   ,7.50   ,7.67   ,4.02   ,4.06   ,6.51
201001  ,-0.91  ,-1.28  ,-3.45  ,-3.15  ,-5.94  ,-6.14
201002   ,0.05   ,2.27   ,3.74   ,0.44   ,0.56   ,1.07
201003   ,6.85   ,9.30   ,7.24   ,6.47   ,8.92   ,9.44
201004   ,3.07   ,3.71   ,3.53   ,0.24   ,0.94   ,4.13
201005 ,-11.13 ,-10.63 ,-10.98  ,-7.46  ,-9.30  ,-9.42
201006   ,0.06   ,1.15   ,0.97  ,-0.46   ,0.29  ,-0.95
201007   ,6.27   ,7.16   ,8.06   ,8.17   ,7.94   ,9.32
201008  ,-1.29  ,-0.08  ,-0.29  ,-3.08  ,-1.40   ,0.50
201009  ,10.67  ,10.22  ,11.25  ,10.15  ,11.02  ,14.43
201010   ,4.36   ,4.31   ,5.62   ,1.59   ,3.39   ,3.51
201011  ,-3.99  ,-2.39  ,-2.37  ,-3.60  ,-1.74  ,-1.38
201012   ,6.58   ,6.38   ,6.82   ,8.90   ,6.50   ,6.36
201101  ,-2.67  ,-1.10  ,-2.87  ,-3.62  ,-2.19  ,-1.74
201102  ,-4.27  ,-2.62  ,-2.31  ,-0.52  ,-1.93  ,-1.46
201103   ,2.68   ,3.24   ,5.52   ,4.39   ,5.25   ,8.28
201104   ,3.34   ,4.71   ,5.34   ,0.83   ,3.10   ,7.42
201105  ,-4.55  ,-1.97  ,-2.46  ,-3.68  ,-1.67  ,-2.93
